OFFENSE,SHIFT,VOTING_PRECINCT,WARD,BLOCK,LATITUDE,LONGITUDE
THEFT F/AUTO,DAY,Precinct 81,6,445 - 516 BLOCK OF 15TH STREET NE,38.8963837876055,-76.9836538511141
THEFT F/AUTO,DAY,Precinct 74,5,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,38.920932635095795,-76.99716323213092
THEFT/OTHER,DAY,Precinct 141,2,1800 - 1823 BLOCK OF 14TH STREET NW,38.9144603174281,-77.0319626303845
THEFT/OTHER,DAY,Precinct 2,2,1900 - 1999 BLOCK OF PENNSYLVANIA AVENUE NW,38.9004483536036,-77.04418784260291
THEFT F/AUTO,MIDNIGHT,Precinct 72,5,901 - 999 BLOCK OF BRENTWOOD ROAD NE,38.918247953051704,-76.99258547530141
THEFT F/AUTO,DAY,Precinct 129,2,800 - 899 BLOCK OF 8TH STREET NW,38.9003373469882,-77.02295274072709
ASSAULT W/DANGEROUS WEAPON,DAY,Precinct 72,5,2300 - 3699 BLOCK OF NEW YORK AVENUE NE,38.917137214255,-76.96513405693359
THEFT/OTHER,DAY,Precinct 139,5,2400 - 2499 BLOCK OF MARKET STREET NE,38.9199141636109,-76.9526981457992
THEFT F/AUTO,DAY,Precinct 1,6,400 497  BLOCK OF L STREET NW,38.903725423900795,-77.0175583547787
THEFT/OTHER,DAY,Precinct 17,2,1000 - 1099 BLOCK OF CONNECTICUT AVENUE NW,38.9031434735571,-77.0396702609364
THEFT F/AUTO,DAY,Precinct 105,7,5800 - 5998 BLOCK OF SOUTHERN AVENUE SE,38.8879406983231,-76.91570856346242
THEFT F/AUTO,DAY,Precinct 74,5,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,38.920932635095795,-76.99716323213092
THEFT F/AUTO,EVENING,Precinct 76,5,500 - 599 BLOCK OF MORSE STREET NE,38.907176930236204,-76.99839741996091
THEFT F/AUTO,DAY,Precinct 79,5,1600 - 1699 BLOCK OF MARYLAND AVENUE NE,38.901544999463795,-76.97994050984279
THEFT F/AUTO,EVENING,Precinct 101,7,400 - 423 BLOCK OF 34TH STREET NE,38.895197107842606,-76.9575099404787
THEFT/OTHER,DAY,Precinct 37,1,2620 - 2711 BLOCK OF GEORGIA AVENUE NW,38.9249752107282,-77.022649300806
THEFT F/AUTO,EVENING,Precinct 102,7,300 - 499 BLOCK OF 40TH STREET NE,38.8933460853051,-76.9469752559749
THEFT F/AUTO,DAY,Precinct 81,6,1500 - 1599 BLOCK OF BENNING ROAD NE,38.899968943199205,-76.98246562621979
THEFT/OTHER,EVENING,Precinct 37,1,2100 - 2299 BLOCK OF 8TH STREET NW,38.9193089155695,-77.0229588467108
BURGLARY,EVENING,Precinct 113,7,2200 - 2299 BLOCK OF 32ND STREET SE,38.8622998382265,-76.96149312910059
THEFT F/AUTO,EVENING,Precinct 113,7,2800 - 2999 BLOCK OF ALABAMA AVENUE SE,38.860310329559105,-76.96583791471281
HOMICIDE,MIDNIGHT,Precinct 19,5,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,38.9076427724206,-77.0090530222517
THEFT/OTHER,EVENING,Precinct 87,6,1700 - 1799 BLOCK OF EAST CAPITOL STREET,38.8897980813486,-76.9798861799091
THEFT F/AUTO,EVENING,Precinct 95,7,500 - 599 BLOCK OF 55TH STREET NE,38.896466924544,-76.9219003521289
THEFT F/AUTO,MIDNIGHT,Precinct 37,1,2300 - 2599 BLOCK OF 9TH STREET NW,38.922380483562605,-77.0242975257008
ROBBERY,DAY,Precinct 106,7,800 - 899 BLOCK OF 51ST STREET SE,38.8776986326207,-76.9300687815892
BURGLARY,DAY,Precinct 50,3,0 - 0 BLOCK OF CHEVY CHASE CIRCLE NW,38.967390246616205,-77.0767234447327
THEFT/OTHER,DAY,Precinct 25,1,2300 - 2399 BLOCK OF 18TH STREET NW,38.920123431494105,-77.0418591499131
THEFT/OTHER,DAY,Precinct 31,3,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,38.9492452010988,-77.0803031975013
THEFT F/AUTO,DAY,Precinct 129,2,923 - 999 BLOCK OF O STREET NW,38.9085704538779,-77.0254918974052
THEFT/OTHER,DAY,Precinct 72,5,2200 - 2399 BLOCK OF CHANNING STREET NE,38.9223619646264,-76.9733961189527
THEFT/OTHER,MIDNIGHT,Precinct 51,4,6300  - 6399 BLOCK OF 32ND STREET NW,38.973433998969895,-77.06293956101271
THEFT F/AUTO,DAY,Precinct 37,1,2200 - 2299 BLOCK OF SHERMAN AVENUE NW,38.9202002788807,-77.0251962366598
THEFT/OTHER,DAY,Precinct 35,1,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,38.9238622318742,-77.0408811201947
THEFT/OTHER,DAY,Precinct 119,8,2800 - 2899 BLOCK OF POMEROY ROAD SE,38.8558380551256,-76.99552982856599
THEFT F/AUTO,DAY,Precinct 16,2,1700 - 1721 BLOCK OF 13TH STREET NW,38.9129745559619,-77.0296328458292
THEFT F/AUTO,EVENING,Precinct 129,2,1000 - 1099 BLOCK OF H STREET NW,38.899814108038,-77.0265147748045
THEFT F/AUTO,DAY,Precinct 117,8,3098 3099  BLOCK OF STANTON ROAD SE,38.851179240239,-76.9810260517958
THEFT F/AUTO,DAY,Precinct 129,2,900 - 999 BLOCK OF NEW YORK AVENUE NW,38.9017962795372,-77.0250052802365
THEFT/OTHER,EVENING,Precinct 1,6,400 - 499 BLOCK OF NEW JERSEY AVENUE NW,38.8954475250326,-77.0111931609423
MOTOR VEHICLE THEFT,EVENING,Precinct 75,5,300 - 399 BLOCK OF TODD PLACE NE,38.9162753567022,-77.0013029830733
THEFT F/AUTO,EVENING,Precinct 4,2,2505 - 2599 BLOCK OF PENNSYLVANIA AVENUE NW,38.9039573605015,-77.0542777461912
THEFT F/AUTO,DAY,Precinct 16,2,1500 - 1599 BLOCK OF O STREET NW,38.9086939445815,-77.0355457515761
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 96,7,200 - 299 BLOCK OF 61ST STREET NE,38.892425385086,-76.9136745173701
THEFT F/AUTO,EVENING,Precinct 38,1,600 699  BLOCK OF LAMONT STREET NW,38.9312900661958,-77.022501374434
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 121,8,900 - 999 BLOCK OF SOUTHERN AVENUE SE,38.83146068812871,-76.98816039332
THEFT/OTHER,MIDNIGHT,Precinct 107,7,400 - 499 BLOCK OF 37TH PLACE SE,38.8839426437977,-76.9499327978624
THEFT F/AUTO,MIDNIGHT,Precinct 21,6,1800 - 1841 BLOCK OF 6TH STREET NW,38.9147692774917,-77.01990178150851
THEFT F/AUTO,MIDNIGHT,Precinct 137,1,1000 - 1099 BLOCK OF T STREET NW,38.915569686081604,-77.02660134734091
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,900 - 922 BLOCK OF P STREET NW,38.9096426636966,-77.02447766245979
ROBBERY,MIDNIGHT,Precinct 20,1,300 - 399 BLOCK OF T STREET NW,38.915940867744496,-77.0166619621305
THEFT F/AUTO,MIDNIGHT,Precinct 39,1,1100 - 1299 BLOCK OF IRVING STREET NW,38.9286312785321,-77.0286129311774
BURGLARY,MIDNIGHT,Precinct 139,5,2400 - 2499 BLOCK OF MARKET STREET NE,38.9199218175591,-76.95269041467459
THEFT F/AUTO,MIDNIGHT,Precinct 17,2,1218 - 1299 BLOCK OF CONNECTICUT AVENUE NW,38.9068451532375,-77.041828298855
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,900 - 999 BLOCK OF 9TH STREET NW,38.9014721914759,-77.0239906646866
THEFT/OTHER,MIDNIGHT,Precinct 143,2,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,38.9005185027319,-77.01720018883701
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 106,7,700 - 799 BLOCK OF BURNS STREET SE,38.879687466033204,-76.9429171114717
THEFT F/AUTO,MIDNIGHT,Precinct 96,7,5740 - 5799 BLOCK OF BLAINE STREET NE,38.89087938302371,-76.9184599784565
THEFT F/AUTO,DAY,Precinct 72,5,1511 - 1643 BLOCK OF FRANKLIN STREET NE,38.9255796307694,-76.9823555377702
THEFT F/AUTO,DAY,Precinct 63,4,800  - 999 BLOCK OF FERN PLACE NW,38.978303602247294,-77.0254475994148
THEFT/OTHER,DAY,Precinct 116,8,3400 - 3683 BLOCK OF 22ND STREET SE,38.845655435953105,-76.97277961700941
THEFT/OTHER,DAY,Precinct 41,1,3414 - 3435 BLOCK OF HOLMEAD PLACE NW,38.9328195660554,-77.03087517787591
THEFT/OTHER,DAY,Precinct 32,3,4100 - 4199 BLOCK OF FESSENDEN STREET NW,38.954694605320505,-77.0811746150421
THEFT F/AUTO,DAY,Precinct 128,6,1 - 299 BLOCK OF G STREET SW,38.8812770775951,-77.0137264749939
THEFT/OTHER,DAY,Precinct 5,2,1000 - 1099 BLOCK OF THOMAS JEFFERSON STREET NW,38.9038914343415,-77.060134338629
THEFT/OTHER,DAY,Precinct 5,2,3100 - 3199 BLOCK OF M STREET NW,38.9051786520086,-77.06200312706609
THEFT F/AUTO,DAY,Precinct 19,5,1 - 99 BLOCK OF SEATON PLACE NW,38.914815526179,-77.0106773241736
THEFT/OTHER,DAY,Precinct 87,6,1500 - 1599 BLOCK OF INDEPENDENCE AVENUE SE,38.8875915151815,-76.9829412418262
THEFT/OTHER,DAY,Precinct 131,6,50 - 53 BLOCK OF M STREET SE,38.8764761962578,-77.007087501384
THEFT/OTHER,DAY,Precinct 66,5,5117 - 5138 BLOCK OF SOUTH DAKOTA AVENUE NE,38.951380619031,-76.99520081502409
THEFT/OTHER,DAY,Precinct 133,8,1614 - 1699 BLOCK OF 19TH STREET SE,38.8698170100175,-76.97736820493459
THEFT F/AUTO,EVENING,Precinct 114,8,1400 - 1499 BLOCK OF V STREET SE,38.864872580558604,-76.9846750499171
THEFT/OTHER,EVENING,Precinct 47,4,4000  - 4099 BLOCK OF 18TH STREET NW,38.9402842328905,-77.0412827169111
THEFT/OTHER,EVENING,Precinct 131,6,16 - 49 BLOCK OF M STREET SE,38.876467139225,-77.0078481102942
THEFT/OTHER,EVENING,Precinct 117,8,3033 3097  BLOCK OF STANTON ROAD SE,38.8523955812541,-76.9823160250475
THEFT/OTHER,MIDNIGHT,Precinct 17,2,1101 - 1199 BLOCK OF 11TH STREET NW,38.9049037066286,-77.02704700006659
THEFT/OTHER,EVENING,Precinct 83,6,1200 - 1229 BLOCK OF 1ST STREET NE,38.9060417408735,-77.0058914055214
THEFT/OTHER,EVENING,Precinct 140,8,1500 - 1599 BLOCK OF 17TH STREET SE,38.8713850836494,-76.98077868455259
THEFT/OTHER,EVENING,Precinct 17,2,1200 - 1299 BLOCK OF VERMONT AVENUE NW,38.906596189106004,-77.0313941726817
THEFT/OTHER,MIDNIGHT,Precinct 37,1,700 - 999 BLOCK OF HARVARD STREET NW,38.926983704940795,-77.0244374848875
HOMICIDE,MIDNIGHT,Precinct 96,7,5300 - 5399 BLOCK OF DIX STREET NE,38.8949277056174,-76.9237348901888
THEFT F/AUTO,EVENING,Precinct 9,3,4700 - 4799 BLOCK OF SEDGWICK STREET NW,38.940317194887,-77.0934888578776
THEFT F/AUTO,EVENING,Precinct 17,2,1400 - 1499 BLOCK OF N STREET NW,38.9072352649165,-77.0332622107641
BURGLARY,EVENING,Precinct 49,4,700  - 799 BLOCK OF QUINCY STREET NW,38.9376679852367,-77.0222842359295
THEFT F/AUTO,EVENING,Precinct 54,4,1200  - 1299 BLOCK OF INGRAHAM STREET NW,38.954079671973,-77.0287154420849
THEFT/OTHER,EVENING,Precinct 1,6,810 899  BLOCK OF 4TH STREET NW,38.9007438566234,-77.0161857516093
THEFT/OTHER,EVENING,Precinct 129,2,1000 - 1099 BLOCK OF PALMER ALLEY NW,38.9003636152553,-77.026526507307
THEFT/OTHER,EVENING,Precinct 46,4,4500  - 4599 BLOCK OF 7TH STREET NW,38.9457214843951,-77.02181379433429
THEFT/OTHER,EVENING,Precinct 17,2,1100 - 1129 BLOCK OF CONNECTICUT AVENUE NW,38.9042332670755,-77.0403049553193
THEFT/OTHER,EVENING,Precinct 99,7,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,38.8966524620029,-76.9476529299575
THEFT/OTHER,EVENING,Precinct 39,1,3101 - 3199 BLOCK OF 16TH STREET NW,38.9298001684556,-77.03647891408559
THEFT F/AUTO,DAY,Precinct 95,7,5356 5403  BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,38.8983503302484,-76.92288969217441
THEFT F/AUTO,DAY,Precinct 65,4,300  - 399 BLOCK OF RIGGS ROAD NE,38.957794590668996,-77.0017075559917
BURGLARY,DAY,Precinct 103,7,4400 - 4499 BLOCK OF FALLS TERRACE SE,38.88245927593729,-76.937497974173
ROBBERY,DAY,Precinct 92,7,4300 - 4399 BLOCK OF ORD STREET NE,38.9085404450379,-76.9412452909083
THEFT F/AUTO,DAY,Precinct 87,6,1800 - 1899 BLOCK OF BURKE STREET SE,38.8861403652828,-76.9781352660797
THEFT F/AUTO,DAY,Precinct 54,4,5100  - 5199 BLOCK OF GEORGIA AVENUE NW,38.9523864087907,-77.0275034100664
ROBBERY,DAY,Precinct 18,6,1500 - 1599 BLOCK OF 7TH STREET NW,38.910381855927604,-77.02191828472749
THEFT F/AUTO,DAY,Precinct 76,5,1100 - 1199 BLOCK OF OKIE STREET NE,38.913257062840295,-76.98909230242501
THEFT F/AUTO,DAY,Precinct 83,6,600 - 699 BLOCK OF H STREET NE,38.9001954371661,-76.9973139237093
THEFT F/AUTO,DAY,Precinct 72,5,1700 - 1799 BLOCK OF GIRARD STREET NE,38.9266422113116,-76.9798757872842
THEFT/OTHER,EVENING,Precinct 129,2,800 - 901 BLOCK OF I STREET NW,38.9008687369867,-77.0234716867223
BURGLARY,EVENING,Precinct 32,3,5100 - 5199 BLOCK OF 39TH STREET NW,38.9566341077136,-77.07715028627359
THEFT/OTHER,EVENING,Precinct 17,2,1130 - 1199 BLOCK OF CONNECTICUT AVENUE NW,38.9051969682966,-77.0408588934901
THEFT F/AUTO,EVENING,Precinct 76,5,1100 - 1199 BLOCK OF OKIE STREET NE,38.913257062840295,-76.98909230242501
THEFT/OTHER,EVENING,Precinct 129,2,1200 - 1299 BLOCK OF G STREET NW,38.898309157411795,-77.02885438321908
THEFT F/AUTO,EVENING,Precinct 76,5,1300 - 1399 BLOCK OF 5TH STREET NE,38.909401976873205,-76.9975557009568
THEFT F/AUTO,EVENING,Precinct 83,6,600 - 699 BLOCK OF H STREET NE,38.9001954371661,-76.9973139237093
THEFT F/AUTO,EVENING,Precinct 76,5,1300 - 1399 BLOCK OF 5TH STREET NE,38.909401976873205,-76.9975557009568
THEFT F/AUTO,EVENING,Precinct 76,5,1300 - 1399 BLOCK OF 5TH STREET NE,38.909401976873205,-76.9975557009568
THEFT/OTHER,EVENING,Precinct 32,3,5523 - 5599 BLOCK OF CONNECTICUT AVENUE NW,38.9644454663154,-77.0753125628092
THEFT/OTHER,EVENING,Precinct 127,6,200 - 399 BLOCK OF M STREET SW,38.876457241504895,-77.01641073062459
THEFT/OTHER,EVENING,Precinct 83,6,1300 - 1399 BLOCK OF 2ND STREET NE,38.9078254892411,-77.00351648457891
THEFT F/AUTO,EVENING,Precinct 91,6,1300 - 1349 BLOCK OF C STREET SE,38.8853489985847,-76.987436850035
THEFT/OTHER,MIDNIGHT,Precinct 25,1,2300 - 2399 BLOCK OF ASHMEAD PLACE NW,38.9196797830996,-77.0477052968888
MOTOR VEHICLE THEFT,EVENING,Precinct 91,6,1200 - 1299 BLOCK OF C STREET SE,38.8853491844973,-76.9893040337726
THEFT/OTHER,EVENING,Precinct 91,6,400 - 499 BLOCK OF 16TH STREET SE,38.883465569967704,-76.98222764592309
THEFT/OTHER,EVENING,Precinct 81,6,1516 - 1699 BLOCK OF BENNING ROAD NE,38.8996082789733,-76.9803906515132
THEFT F/AUTO,EVENING,Precinct 2,2,1900 - 1999 BLOCK OF PENNSYLVANIA AVENUE NW,38.9004483536036,-77.04418784260291
THEFT F/AUTO,EVENING,Precinct 5,2,1000 - 1027 BLOCK OF 31ST STREET NW,38.9030080953886,-77.0611365892451
BURGLARY,EVENING,Precinct 79,5,2300 BLOCK OF 4TH STREET NE,38.8995348016404,-76.9732778228851
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 115,8,3000 - 3099 BLOCK OF 30TH STREET SE,38.8515537650733,-76.9645863850407
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 125,8,300 - 399 BLOCK OF LIVINGSTON TERRACE SE,38.826596709989204,-77.00127831402921
THEFT/OTHER,EVENING,Precinct 5,2,3100 - 3199 BLOCK OF M STREET NW,38.9051786520086,-77.06200312706609
BURGLARY,EVENING,Precinct 74,5,600 - 699 BLOCK OF MONROE STREET NE,38.932363824246295,-76.9970981901552
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 104,7,5100 - 5299 BLOCK OF C STREET SE,38.8848495944444,-76.92728406744459
THEFT/OTHER,EVENING,Precinct 129,2,500 - 599 BLOCK OF 12TH STREET NW,38.896732879504704,-77.02809291973621
THEFT F/AUTO,EVENING,Precinct 63,4,403 499  BLOCK OF CEDAR STREET NW,38.9747735900102,-77.0190760987703
THEFT/OTHER,MIDNIGHT,Precinct 129,2,1200 - 1299 BLOCK OF PENNSYLVANIA AVENUE NW,38.895228294345706,-77.0288646645371
HOMICIDE,MIDNIGHT,Precinct 115,8,2600 - 2799 BLOCK OF JASPER STREET SE,38.8517442612237,-76.9692405323066
ROBBERY,EVENING,Precinct 80,7,400 498  BLOCK OF OKLAHOMA AVENUE NE,38.895480785816005,-76.9721957599073
THEFT/OTHER,MIDNIGHT,Precinct 104,7,4900 - 4999 BLOCK OF A STREET SE,38.888167064887,-76.931222675546
THEFT F/AUTO,EVENING,Precinct 32,3,5523 - 5599 BLOCK OF CONNECTICUT AVENUE NW,38.9644454663154,-77.0753125628092
THEFT F/AUTO,MIDNIGHT,Precinct 75,5,150 - 299 BLOCK OF Q STREET NE,38.9111135327066,-77.0035742966363
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 91,6,500 - 503 BLOCK OF 12TH STREET SE,38.8825386514268,-76.9902495355631
THEFT F/AUTO,MIDNIGHT,Precinct 5,2,3100 - 3199 BLOCK OF K STREET NW,38.9025842716431,-77.06195475752891
BURGLARY,MIDNIGHT,Precinct 140,8,1800 - 1899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.8678187624386,-76.9884193905189
THEFT/OTHER,MIDNIGHT,Precinct 2,2,500 - 599 BLOCK OF 19TH STREET NW,38.8966651106639,-77.0434707845789
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,800 - 899 BLOCK OF 7TH STREET NW,38.9003375462289,-77.021915198495
THEFT F/AUTO,MIDNIGHT,Precinct 18,6,800 - 899 BLOCK OF Q STREET NW,38.911120239819205,-77.0234635303778
ROBBERY,MIDNIGHT,Precinct 1,6,300 - 319 BLOCK OF H STREET NW,38.9002034382238,-77.0155746330165
THEFT F/AUTO,DAY,Precinct 17,2,800 - 899 BLOCK OF VERMONT AVENUE NW,38.9007578068275,-77.03481551306851
THEFT/OTHER,EVENING,Precinct 31,3,5300 - 5399 BLOCK OF WISCONSIN AVENUE NW,38.9599074542529,-77.0852995777749
ASSAULT W/DANGEROUS WEAPON,DAY,Precinct 121,8,4001 - 4022 BLOCK OF BLAKNEY LANE SE,38.8355776995036,-76.98969157687091
THEFT F/AUTO,DAY,Precinct 133,8,1500 - 1599 BLOCK OF WHITE PLACE SE,38.87214901131961,-76.9719513291296
THEFT F/AUTO,EVENING,Precinct 17,2,1900 - 1999 BLOCK OF L STREET NW,38.9037364071828,-77.04417835067859
THEFT/OTHER,DAY,Precinct 30,3,4300 - 4326 BLOCK OF WISCONSIN AVENUE NW,38.9451298886223,-77.0781298887292
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 79,5,700 - 716 BLOCK OF 21ST STREET NE,38.8992016945742,-76.9741771366824
THEFT/OTHER,EVENING,Precinct 125,8,4610 - 4659 BLOCK OF SOUTH CAPITOL STREET,38.822840118036,-77.0039268662501
THEFT F/AUTO,EVENING,Precinct 129,2,700 - 799 BLOCK OF 13TH STREET NW,38.8990566579751,-77.02962706431971
THEFT F/AUTO,EVENING,Precinct 74,5,3300 - 3399 BLOCK OF 8TH STREET NE,38.9308867502334,-76.994971530668
THEFT/OTHER,EVENING,Precinct 142,6,900 - 1199 BLOCK OF 4TH STREET SW,38.877862371248,-77.0176441877483
THEFT/OTHER,EVENING,Precinct 139,5,2400 - 2499 BLOCK OF MARKET STREET NE,38.9199218175591,-76.95269041467459
THEFT F/AUTO,EVENING,Precinct 27,3,3000 - 3029 BLOCK OF TILDEN STREET NW,38.940851111851295,-77.06293386548909
THEFT/OTHER,EVENING,Precinct 85,6,800 - 899 BLOCK OF MASSACHUSETTS AVENUE NE,38.891475234584206,-76.9943633872952
ASSAULT W/DANGEROUS WEAPON,EVENING,Precinct 115,8,2600 - 2799 BLOCK OF JASPER STREET SE,38.8517442612237,-76.9692405323066
THEFT F/AUTO,EVENING,Precinct 112,8,1600 1629  BLOCK OF MINNESOTA AVENUE SE,38.8679800597213,-76.9817360123525
THEFT/OTHER,EVENING,Precinct 6,2,3200 - 3275 BLOCK OF M STREET NW,38.905150551445,-77.06399762448541
THEFT F/AUTO,EVENING,Precinct 16,2,1500 - 1599 BLOCK OF KINGMAN PLACE NW,38.9103798258111,-77.0309000536323
THEFT/OTHER,EVENING,Precinct 21,6,600 - 629 BLOCK OF RHODE ISLAND AVENUE NW,38.9128413960542,-77.0204662267163
THEFT F/AUTO,EVENING,Precinct 68,5,600 - 699 BLOCK OF MICHIGAN AVENUE NE,38.9327830707554,-76.9970989804373
THEFT F/AUTO,EVENING,Precinct 38,1,3000 - 3099 BLOCK OF GEORGIA AVENUE NW,38.9285784345942,-77.0231694219311
THEFT/OTHER,EVENING,Precinct 6,2,3600 - 3699 BLOCK OF O STREET NW,38.907686868865795,-77.0709867398401
THEFT F/AUTO,EVENING,Precinct 54,4,5200  - 5299 BLOCK OF GEORGIA AVENUE NW,38.9534853822054,-77.02765381306871
THEFT F/AUTO,EVENING,Precinct 10,3,3300 - 3399 BLOCK OF 45TH STREET NW,38.9340151557794,-77.0886479750384
THEFT/OTHER,EVENING,Precinct 140,8,1700 1725  BLOCK OF 16TH STREET SE,38.8691512291638,-76.9822312106498
THEFT/OTHER,EVENING,Precinct 134,8,2301 - 2399 BLOCK OF GOOD HOPE COURT SE,38.8618977094444,-76.97309603961791
THEFT/OTHER,EVENING,Precinct 76,5,1600 - 1619 BLOCK OF WEST VIRGINIA AVENUE NE,38.9080141576179,-76.9885627477452
THEFT F/AUTO,EVENING,Precinct 37,1,700 - 799 BLOCK OF FAIRMONT STREET NW,38.925019947375496,-77.0241715704377
THEFT/OTHER,EVENING,Precinct 83,6,1200 - 1229 BLOCK OF 1ST STREET NE,38.9060417408735,-77.0058914055214
THEFT/OTHER,EVENING,Precinct 78,5,1000 - 1099 BLOCK OF 18TH STREET NE,38.903103111343896,-76.9780839518398
THEFT/OTHER,MIDNIGHT,Precinct 37,1,2600 - 2699 BLOCK OF GEORGIA AVENUE NW,38.9244887772035,-77.02256842124099
THEFT/OTHER,MIDNIGHT,Precinct 119,8,2632 2663  BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.857441564352996,-76.99578319716609
THEFT F/AUTO,MIDNIGHT,Precinct 71,5,2800 - 2999 BLOCK OF CHANNING STREET NE,38.9223694668182,-76.96744570237259
THEFT/OTHER,MIDNIGHT,Precinct 99,7,4000 - 4121 BLOCK OF MINNESOTA AVENUE NE,38.8966524620029,-76.9476529299575
THEFT/OTHER,MIDNIGHT,Precinct 118,8,2600 - 2699 BLOCK OF DOUGLASS ROAD SE,38.8574592723127,-76.9905179519173
BURGLARY,MIDNIGHT,Precinct 57,4,300  - 399 BLOCK OF KENNEDY STREET NW,38.9565232064712,-77.01697141942209
ROBBERY,DAY,Precinct 110,7,3900 - 3917 BLOCK OF SOUTHERN AVENUE SE,38.8623308927358,-76.94856530506159
MOTOR VEHICLE THEFT,DAY,Precinct 65,4,5550 5699  BLOCK OF CHILLUM PLACE NE,38.9584071639132,-77.0004615055857
MOTOR VEHICLE THEFT,DAY,Precinct 125,8,4400 4599  BLOCK OF 3RD STREET SE,38.8250832849143,-77.00145102841559
THEFT F/AUTO,DAY,Precinct 4,2,2500 - 2599 BLOCK OF L STREET NW,38.9037321570909,-77.0542660460293
THEFT F/AUTO,MIDNIGHT,Precinct 78,5,1200 - 1299 BLOCK OF RAUM STREET NE,38.908374017531706,-76.9844581715135
MOTOR VEHICLE THEFT,DAY,Precinct 74,5,200 - 299 BLOCK OF CHANNING STREET NE,38.9223559514987,-77.0027791654538
THEFT F/AUTO,DAY,Precinct 36,1,1400 - 1499 BLOCK OF HARVARD STREET NW,38.9264138044148,-77.0339515721209
THEFT F/AUTO,EVENING,Precinct 113,7,2700 - 2799 BLOCK OF 32ND STREET SE,38.8568587597623,-76.9615191068843
THEFT F/AUTO,DAY,Precinct 111,7,1700 1799  BLOCK OF 30TH STREET SE,38.869003136712706,-76.96478514359491
THEFT F/AUTO,DAY,Precinct 136,3,2000 - 2199 BLOCK OF CATHEDRAL AVENUE NW,38.92329129362329,-77.04969120997599
THEFT/OTHER,DAY,Precinct 87,6,1700 - 1799 BLOCK OF EAST CAPITOL STREET,38.8897980813486,-76.9798861799091
ASSAULT W/DANGEROUS WEAPON,DAY,Precinct 135,5,1 - 99 BLOCK OF W STREET NW,38.919166557202,-77.0105972565717
ASSAULT W/DANGEROUS WEAPON,DAY,Precinct 132,7,3300 - 3399 BLOCK OF DUBOIS PLACE SE,38.885207235563996,-76.9586684700368
THEFT/OTHER,DAY,Precinct 87,6,1600 - 1699 BLOCK OF EAST CAPITOL STREET,38.8897983480789,-76.981499896088
THEFT F/AUTO,DAY,Precinct 120,8,1100 - 1199 BLOCK OF ALABAMA AVENUE SE,38.84421692173721,-76.991130227553
THEFT/OTHER,DAY,Precinct 6,2,1851 - 2008 BLOCK OF WISCONSIN AVENUE NW,38.9162194455656,-77.06817018235179
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 129,2,1000 - 1099 BLOCK OF K STREET NW,38.902516614898204,-77.02651577935009
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,1300 - 1399 BLOCK OF K STREET NW,38.902520971444105,-77.0307907014427
THEFT F/AUTO,MIDNIGHT,Precinct 21,6,1700 - 1799 BLOCK OF 8TH STREET NW,38.9133454024036,-77.02294539665641
THEFT/OTHER,MIDNIGHT,Precinct 137,1,900 - 931 BLOCK OF U STREET NW,38.9169934322698,-77.024641618561
ROBBERY,MIDNIGHT,Precinct 137,1,800 - 899 BLOCK OF FLORIDA AVENUE NW,38.916867562379295,-77.02344235941071
BURGLARY,MIDNIGHT,Precinct 31,3,4800 - 4899 BLOCK OF WISCONSIN AVENUE NW,38.952703465653,-77.0816222796639
ROBBERY,MIDNIGHT,Precinct 92,7,4300 - 4499 BLOCK OF PONDS STREET NE,38.9117460564956,-76.9386022586672
THEFT F/AUTO,MIDNIGHT,Precinct 43,1,800 - 899 BLOCK OF OTIS PLACE NW,38.934082134250495,-77.0249935355937
THEFT/OTHER,MIDNIGHT,Precinct 129,2,1300 - 1399 BLOCK OF NEW YORK AVENUE NW,38.8996688305587,-77.0311490330435
THEFT/OTHER,MIDNIGHT,Precinct 102,7,3900 - 3919 BLOCK OF BENNING ROAD NE,38.8948602173515,-76.94859948891279
THEFT F/AUTO,MIDNIGHT,Precinct 132,7,3300 - 3399 BLOCK OF D STREET SE,38.8844235063541,-76.9586689240318
