OFFENSE,SHIFT,VOTING_PRECINCT,WARD,BLOCK,LATITUDE,LONGITUDE
THEFT/OTHER,MIDNIGHT,Precinct 14,2,1400 - 1499 BLOCK OF NEW HAMPSHIRE AVENUE NW,38.9088531483897,-77.0441815199314
THEFT F/AUTO,MIDNIGHT,Precinct 137,1,900 - 999 BLOCK OF T STREET NW,38.9155700251451,-77.02506776302658
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 5,2,3100 - 3199 BLOCK OF K STREET NW,38.9025842716431,-77.06195475752891
ROBBERY,MIDNIGHT,Precinct 17,2,1700 - 1799 BLOCK OF N STREET NW,38.9072331184658,-77.0400991219122
ROBBERY,MIDNIGHT,Precinct 105,7,5100 - 5298 BLOCK OF FITCH STREET SE,38.880805358372996,-76.9281410459226
THEFT F/AUTO,DAY,Precinct 91,6,1300 - 1399 BLOCK OF D STREET SE,38.884096776449795,-76.9869184174658
THEFT F/AUTO,DAY,Precinct 39,1,3200 - 3299 BLOCK OF HIATT PLACE NW,38.929854742032,-77.0347605219521
THEFT F/AUTO,DAY,Precinct 74,5,200 - 299 BLOCK OF ADAMS STREET NE,38.920220979105295,-77.0027675507908
THEFT F/AUTO,DAY,Precinct 74,5,200 - 299 BLOCK OF ADAMS STREET NE,38.920220979105295,-77.0027675507908
THEFT F/AUTO,DAY,Precinct 62,4,8000  - 8099 BLOCK OF EASTERN AVENUE NW,38.9874818030271,-77.03035637580841
THEFT F/AUTO,DAY,Precinct 95,7,934 - 1099 BLOCK OF EASTERN AVENUE NE,38.903476129183,-76.9229533236416
THEFT F/AUTO,DAY,Precinct 62,4,7700  - 7799 BLOCK OF 12TH STREET NW,38.9836897860079,-77.0286119583178
THEFT F/AUTO,DAY,Precinct 62,4,7800  - 7899 BLOCK OF 12TH STREET NW,38.98501399601779,-77.0286009481452
THEFT/OTHER,DAY,Precinct 60,4,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,38.9619710920902,-77.0279570992068
ROBBERY,EVENING,Precinct 123,8,500 - 699 BLOCK OF MELLON STREET SE,38.8463342326869,-76.998467902959
THEFT F/AUTO,DAY,Precinct 129,2,1000 - 1099 BLOCK OF 14TH STREET NW,38.9031278211765,-77.03195755244721
THEFT/OTHER,DAY,Precinct 17,2,1300 - 1399 BLOCK OF 14TH STREET NW,38.9080373713046,-77.0319597521504
