VOTERPRE2012,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Precinct 21,31,35,34,18,45,45,28,51,44,19,14,14,14,7.1,44,55,49,71,56,39,38,14,97,95,48,61,41576,48186,48084,83805,16,-0.2,74,302,319,335,333,325,356,346,331,301,335,373,418,405,413,380,383,348,160,172,169,179,175,183,154,155,131,128,115,109,105,97,85,76,68,27,25,28,25,27,25,25,24,10,17,18,20,12,15,13,15,9.2,67,60,71,58,59,60,42,44,51,49,30,42,61,46,58,69,73
Precinct 22,29,19,20,13,23,33,28,28,39,37,9.5,8.6,4.7,4.8,49,61,66,82,42,33,27,7.1,97,97,51,58,51401,68861,87439,170620,34,27,95,373,325,321,304,302,291,272,246,251,279,353,396,400,381,351,312,269,179,163,136,141,148,126,105,93,83,78,86,66,71,76,64,57,42,41,35,32,34,27,28,28,24,22,21,18,29,19,19,13,11,11,160,126,127,122,106,94,112,100,97,111,87,90,107,100,110,106,132
Precinct 23,37,36,31,14,53,37,23,42,40,35,12,12,8.3,8.2,50,53,57,76,51,46,43,10,95,96,40,53,40547,43160,48802,87812,6.4,13,80,740,684,713,746,677,698,657,648,646,713,828,932,943,1007,937,915,877,390,384,409,403,361,340,296,264,275,288,289,303,292,297,265,229,214,17,22,24,24,16,18,18,14,14,12,11,12,8.7,9.2,7.4,9,7.6,41,50,53,50,51,39,42,42,46,37,31,45,39,44,60,49,58
Precinct 24,23,16,19,10,33,47,15,26,18,2.2,8.1,5.8,4.5,5.7,67,75,74,77,30,24,21,10,99,96,52,56,54415,61661,87244,143435,13,41,64,260,248,263,263,261,247,256,256,228,262,313,384,408,410,369,356,340,127,138,134,124,97,87,73,73,71,70,82,96,84,80,66,73,71,14,16,22,16,18,17,14,13,19,14,12,15,7,9.8,4,4,5.4,67,97,84,85,53,58,64,62,57,53,38,57,48,48,53,44,34
Precinct 25,12,7,5.2,4.2,16,1.2,0,13,2.8,5.5,3.6,2.5,1.5,2.9,75,81,85,83,17,11,6,1.8,99,98,67,57,96371,122751,195703,198443,27,59,1.4,58,51,59,67,75,68,57,53,60,72,84,91,108,116,92,92,94,28,18,20,19,21,17,16,10,11,13,6,9,6,14,12,15,23,6.5,10,10,11,9.7,9.5,9.5,11,9.7,8,8.6,7.3,8.6,9.5,5.5,7.8,4.1,49,46,60,54,38,40,40,46,40,39,39,39,48,45,47,42,44
Precinct 26,7.1,3.7,4.7,4,0.3,0,5.5,5.6,5.1,1.6,3.6,2.9,1.9,2.1,71,77,78,79,8.4,5,4.7,2.4,100,100,76,70,157226,192424,229374,266977,22,19,16,10,8,9,12,16,14,13,16,12,19,24,21,18,23,27,31,0,s,s,s,6,s,s,s,s,s,0,s,s,s,s,s,s,0,3.2,5.2,4,1.8,3.5,3.4,4,2.1,2.9,2.3,2.2,1.4,3.1,2,3.1,1,1.8,54,38,36,39,33,25,24,21,26,33,22,30,30,25,23,33,33
Precinct 27,6.6,4.5,4.8,8.9,0,0.9,7.3,6.3,4.8,0,2.9,2.7,0.9,3,63,65,63,71,11,10,13,2.1,99,99,81,81,163875,327343,294290,300585,100,-10,2.1,19,19,19,12,15,18,15,9,12,9,17,24,28,32,36,33,0,s,7,8,5,s,s,s,0,0,s,5,s,0,s,s,0,0,2.5,3,3,2.8,1.4,1.4,1.2,1,1.7,2.3,1.8,2.8,1.3,2,1.3,0.5,2,28,29,24,33,23,19,17,21,30,31,31,30,30,24,26,33,24
Precinct 28,9.1,5,5.8,10,3.1,0,8.7,2.6,4.1,5.7,2.6,3.1,3.9,3.9,58,62,64,63,7.1,6.2,4,3.4,100,96,76,79,159511,232234,180070,179738,46,-22,-0.2,18,11,16,13,15,15,14,11,15,27,38,52,64,70,67,69,0,5,s,s,s,5,s,s,s,5,5,0,s,7,s,0,0,0,1.6,0.5,2,0.4,0.7,0.7,0.4,0.4,0.2,0.6,0.2,0.2,0.6,0.2,0.2,0.4,0.8,21,20,16,15,17,19,15,9.8,10,9.2,12,8.4,16,16,14,9.5,8.2
Precinct 29,11,7.2,15,24,0,4.9,2.5,5.9,1.5,5.7,3.8,2.6,2.1,4.6,59,71,69,72,12,5.7,4.9,4,99,96,77,77,132145,187529,163731,201860,42,-13,23,6,5,5,6,7,5,s,s,s,9,10,12,12,12,11,13,10,s,s,s,s,s,0,s,s,s,s,s,s,s,s,s,s,s,4,3.9,0.9,1.4,2.7,1.3,1.7,2,1.2,1.2,0.7,2.6,1.9,0.7,1.5,1.1,0.7,34,40,29,30,28,23,22,25,20,26,16,17,24,15,15,19,18
Precinct 30,6.6,7.2,5.1,5.5,2.6,1.5,0.9,5.2,3.3,4.1,2.5,2.7,2.8,2.4,56,69,72,63,16,5.3,3.3,1.2,100,99,86,87,127681,164240,226540,198761,29,38,-12,s,s,s,s,s,7,8,7,8,11,15,18,13,16,17,22,25,0,0,0,0,0,s,s,0,0,0,0,s,s,s,s,s,s,3.8,3.3,4.8,3.5,2.6,3.7,1.4,4.2,3.8,1.7,1.6,2,1.3,1.3,1.3,2,1,37,35,28,27,22,22,12,29,40,30,33,31,21,26,27,18,15
